product,Color,SIZE,Type/ Model,,catagory,SKU,סוג,שם,תיאור,במלאי?,מלאי,מחיר רגיל,קטגוריות,תגיות,Images,שיוך 1 שמות,שיוך 1 ערכים,אב,שיוך 1 פריטים גלובליים
,,,,,,BGSS01-BU,variable,SUPER STAR blue,"כפפות האגרוף מסדרת SUPER STAR עשויות עור מלא בעבודת יד, בעיצוב כוכבים",1,,,כפפות איגרוף,"אגרוף, אגרוף תאילנדי, כפפות, כפפות לחימה",https://activebrands.co.il/wp-content/uploads-new/2022/11/TKBGSS-01A-SV.jpg,weight,"8OZ, 10OZ, 12OZ, 14OZ, 16OZ",1,1
BG,BU,8,SS01,BOXING GLOVES,,BGSS01-BU-8,variation,"SUPER STAR blue,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGSS-01-BU-scaled.jpg,weight,8OZ,BGSS01-BU,1
BG,BU,10,SS01,BOXING GLOVES,,BGSS01-BU-10,variation,"SUPER STAR blue,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGSS-01-BU-scaled.jpg,weight,10OZ,BGSS01-BU,1
BG,BU,12,SS01,BOXING GLOVES,,BGSS01-BU-12,variation,"SUPER STAR blue,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGSS-01-BU-scaled.jpg,weight,12OZ,BGSS01-BU,1
BG,BU,14,SS01,BOXING GLOVES,,BGSS01-BU-14,variation,"SUPER STAR blue,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGSS-01-BU-scaled.jpg,weight,14OZ,BGSS01-BU,1
BG,BU,16,SS01,BOXING GLOVES,,BGSS01-BU-16,variation,"SUPER STAR blue,כפפות איגרוף עור",,1,2,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGSS-01-BU-scaled.jpg,weight,16OZ,BGSS01-BU,1
,,,,,,,,,,,,,,,,,,,
,,,,,,BGSS01-RD,variable,"SUPER STAR red,כפפות איגרוף עור","כפפות האגרוף מסדרת SUPER STAR עשויות עור מלא בעבודת יד, בעיצוב כוכבים",1,,,כפפות איגרוף,"אגרוף, אגרוף תאילנדי, כפפות, כפפות לחימה",https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGSS-01A-RD-.jpg,weight,"8OZ, 10OZ, 12OZ, 14OZ, 16OZ",1,1
BG,RD,8,SS01,BOXING GLOVES,,BGSS01-RD-8,variation,"SUPER STAR red,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGSS-01A-RD-.jpg,weight,8OZ,BGSS01-RD,1
BG,RD,10,SS01,BOXING GLOVES,,BGSS01-RD-10,variation,"SUPER STAR red,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGSS-01A-RD-.jpg,weight,10OZ,BGSS01-RD,1
BG,RD,12,SS01,BOXING GLOVES,,BGSS01-RD-12,variation,"SUPER STAR red,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGSS-01A-RD-.jpg,weight,12OZ,BGSS01-RD,1
BG,RD,14,SS01,BOXING GLOVES,,BGSS01-RD-14,variation,"SUPER STAR red,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGSS-01A-RD-.jpg,weight,14OZ,BGSS01-RD,1
BG,RD,16,SS01,BOXING GLOVES,,BGSS01-RD-16,variation,"SUPER STAR red,כפפות איגרוף עור",,1,2,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGSS-01A-RD-.jpg,weight,16OZ,BGSS01-RD,1
,,,,,,,,,,,,,,,,,,,
,,,,,,BGSS01-SV,variable,"SUPER STAR silver,כפפות איגרוף עור","כפפות האגרוף מסדרת SUPER STAR עשויות עור מלא בעבודת יד, בעיצוב כוכבים",0,,,כפפות איגרוף,"אגרוף, אגרוף תאילנדי, כפפות, כפפות לחימה",https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGSS-01-BU-scaled.jpg,weight,"8OZ, 10OZ, 12OZ, 14OZ, 16OZ",1,1
BG,SV,8,SS01,BOXING GLOVES,,BGSS01-SV-8,variation,"SUPER STAR silver,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/11/TKBGSS-01A-SV.jpg,weight,8OZ,BGSS01-SV,1
BG,SV,10,SS01,BOXING GLOVES,,BGSS01-SV-10,variation,"SUPER STAR silver,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/11/TKBGSS-01A-SV.jpg,weight,10OZ,BGSS01-SV,1
BG,SV,12,SS01,BOXING GLOVES,,BGSS01-SV-12,variation,"SUPER STAR silver,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/11/TKBGSS-01A-SV.jpg,weight,12OZ,BGSS01-SV,1
BG,SV,14,SS01,BOXING GLOVES,,BGSS01-SV-14,variation,"SUPER STAR silver,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/11/TKBGSS-01A-SV.jpg,weight,14OZ,BGSS01-SV,1
BG,SV,16,SS01,BOXING GLOVES,,BGSS01-SV-16,variation,"SUPER STAR silver,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/11/TKBGSS-01A-SV.jpg,weight,16OZ,BGSS01-SV,1
,,,,,,,,,,,,,,,,,,,
,,,,,,BGEM01-BKSV,variable,"EMPOWER CREATIVITY black silver,כפפות איגרוף עור",כפפות אגרוף מסדרת EMPOWER CREATIVITY,1,,,כפפות איגרוף,"אגרוף, אגרוף תאילנדי, כפפות, כפפות לחימה",https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGEM-01-SV-Black.jpg,weight,"8OZ, 10OZ, 12OZ, 14OZ, 16OZ",1,1
BG,BKSV,8,EM01,BOXING GLOVES,,BGEM01-BKSV-8,variation,"EMPOWER CREATIVITY black silver,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGEM-01-SV-Black.jpg,weight,8OZ,BGEM01-BKSV,1
BG,BKSV,10,EM01,BOXING GLOVES,,BGEM01-BKSV-10,variation,"EMPOWER CREATIVITY black silver,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGEM-01-SV-Black.jpg,weight,10OZ,BGEM01-BKSV,1
BG,BKSV,12,EM01,BOXING GLOVES,,BGEM01-BKSV-12,variation,"EMPOWER CREATIVITY black silver,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGEM-01-SV-Black.jpg,weight,12OZ,BGEM01-BKSV,1
BG,BKSV,14,EM01,BOXING GLOVES,,BGEM01-BKSV-14,variation,"EMPOWER CREATIVITY black silver,כפפות איגרוף עור",,1,3,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGEM-01-SV-Black.jpg,weight,14OZ,BGEM01-BKSV,1
BG,BKSV,16,EM01,BOXING GLOVES,,BGEM01-BKSV-16,variation,"EMPOWER CREATIVITY black silver,כפפות איגרוף עור",,1,1,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGEM-01-SV-Black.jpg,weight,16OZ,BGEM01-BKSV,1
,,,,,,,,,,,,,,,,,,,
,,,,,,BGEM01-WHSV,variable,"EMPOWER CREATIVITY white silver,כפפות איגרוף עור",כפפות אגרוף מסדרת EMPOWER CREATIVITY,1,,,כפפות איגרוף,"אגרוף, אגרוף תאילנדי, כפפות, כפפות לחימה",https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGEM-01-SV-White.jpg,weight,"8OZ, 10OZ, 12OZ, 14OZ, 16OZ",1,1
BG,WHSV,8,EM01,BOXING GLOVES,,BGEM01-WHSV-8,variation,"EMPOWER CREATIVITY white silver,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGEM-01-SV-White.jpg,weight,8OZ,BGEM01-WHSV,1
BG,WHSV,10,EM01,BOXING GLOVES,,BGEM01-WHSV-10,variation,"EMPOWER CREATIVITY white silver,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGEM-01-SV-White.jpg,weight,10OZ,BGEM01-WHSV,1
BG,WHSV,12,EM01,BOXING GLOVES,,BGEM01-WHSV-12,variation,"EMPOWER CREATIVITY white silver,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGEM-01-SV-White.jpg,weight,12OZ,BGEM01-WHSV,1
BG,WHSV,14,EM01,BOXING GLOVES,,BGEM01-WHSV-14,variation,"EMPOWER CREATIVITY white silver,כפפות איגרוף עור",,1,2,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGEM-01-SV-White.jpg,weight,14OZ,BGEM01-WHSV,1
BG,WHSV,16,EM01,BOXING GLOVES,,BGEM01-WHSV-16,variation,"EMPOWER CREATIVITY white silver,כפפות איגרוף עור",,1,5,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGEM-01-SV-White.jpg,weight,16OZ,BGEM01-WHSV,1
,,,,,,,,,,,,,,,,,,,
,,,,,,BGSA-BK,variable,"SUPER AIR black,כפפות איגרוף עור","כפפות האגרוף מסדרת SUPER AIR עשויות עור מלא בעבודת יד, בעלות רשת אוורור",1,,,כפפות איגרוף,"אגרוף, אגרוף תאילנדי, כפפות, כפפות לחימה",https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGSA-222-scaled.jpg,weight,"8OZ, 10OZ, 12OZ, 14OZ, 16OZ",1,1
BG,BK,8,SA,BOXING GLOVES,,BGSA-BK-8,variation,"SUPER AIR black,כפפות איגרוף עור",,1,2,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGSA-222-scaled.jpg,weight,8OZ,BGSA-BK,1
BG,BK,10,SA,BOXING GLOVES,,BGSA-BK-10,variation,"SUPER AIR black,כפפות איגרוף עור",,0,0,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGSA-222-scaled.jpg,weight,10OZ,BGSA-BK,1
BG,BK,12,SA,BOXING GLOVES,,BGSA-BK-12,variation,"SUPER AIR black,כפפות איגרוף עור",,1,23,545,,,https://activebrands.co.il/wp-content/uploads-new/2022/09/TKBGSA-222-scaled.jpg,weight,12OZ,BGSA-BK,1
